date,account,category,amount,currency,converted amount,currency,description
17/08/2021,Cash,Taxi,-400,EUR,-400,EUR,Varis no comptat
04/09/2021,Cash,House,-350,EUR,-350,EUR,Lloguer pis
04/09/2021,Cash,Salary,"1,500",EUR,"1,500",EUR,Salary
04/09/2021,Cash,Food,-13,EUR,-13,EUR,
04/09/2021,Cash,Food,-16,EUR,-16,EUR,
04/09/2021,Cash,Entertainment,-25,EUR,-25,EUR,Joc taula
04/09/2021,Cash,Eating out,-25,EUR,-25,EUR,Pizzeria
04/09/2021,Cash,Entertainment,-7,EUR,-7,EUR,Vinitos
05/09/2021,Cash,Entertainment,-2.2,EUR,-2.2,EUR,Coffe
05/09/2021,Cash,Entertainment,-3,EUR,-3,EUR,Birra
06/09/2021,Cash,Food,-2.37,EUR,-2.37,EUR,
06/09/2021,Cash,House,-9.05,EUR,-9.05,EUR,Various beach
06/09/2021,Cash,Car,-38,EUR,-38,EUR,Fuel
07/09/2021,Cash,Eating out,-7.8,EUR,-7.8,EUR,Breakfast cal jan
07/09/2021,Cash,Eating out,-6,EUR,-6,EUR,Berenar Rox
07/09/2021,Cash,Food,-7.85,EUR,-7.85,EUR,Carrefourbio
08/09/2021,Cash,Food,-28,EUR,-28,EUR,Menjar x cercs
08/09/2021,Cash,House,-20,EUR,-20,EUR,Atornilladora
08/09/2021,Cash,Car,-10,EUR,-10,EUR,Peatge cercs anada
08/09/2021,Cash,Eating out,-27,EUR,-27,EUR,Dinar
09/09/2021,Cash,Food,-7.8,EUR,-7.8,EUR,Ca l'agustí
09/09/2021,Cash,Eating out,-24.75,EUR,-24.75,EUR,Dinar BPcercs
12/09/2021,Cash,Car,-10,EUR,-10,EUR,Peatge cercs tornada
13/09/2021,Cash,Eating out,-4.75,EUR,-4.75,EUR,Esmorzar puro cafe
13/09/2021,Cash,Eating out,-8.45,EUR,-8.45,EUR,Dinar ofi
14/09/2021,Cash,Eating out,-4.4,EUR,-4.4,EUR,Esmorzar ofi
15/09/2021,Cash,Food,-30,EUR,-30,EUR,Mercadona
15/09/2021,Cash,Cosmetic,-14,EUR,-14,EUR,Champú solido gibrell
16/09/2021,Cash,Eating out,-12.45,EUR,-12.45,EUR,Petit bangkok
18/09/2021,Cash,Transport,-11.4,EUR,-11.4,EUR,Metro
18/09/2021,Cash,Eating out,-6.8,EUR,-6.8,EUR,Esmorzar
18/09/2021,Cash,Food,-40,EUR,-40,EUR,Mercadona
18/09/2021,Cash,Eating out,-7.5,EUR,-7.5,EUR,Berenar sopar teteria
19/09/2021,Cash,Eating out,-7,EUR,-7,EUR,Pollo
21/09/2021,Cash,Eating out,-17,EUR,-17,EUR,Lidl
21/09/2021,Cash,Cosmetic,-12,EUR,-12,EUR,Pelu
21/09/2021,Cash,Health,-60,EUR,-60,EUR,Cant
21/09/2021,Cash,Bills,-26.44,EUR,-26.44,EUR,Llum
23/09/2021,Cash,Car,-80,EUR,-80,EUR,Parking
24/09/2021,Cash,Entertainment,-7,EUR,-7,EUR,Abirradero
24/09/2021,Cash,Eating out,-26.5,EUR,-26.5,EUR,Pummarola
25/09/2021,Cash,Food,-7,EUR,-7,EUR,Mercadona
25/09/2021,Cash,Entertainment,-4,EUR,-4,EUR,Birres
26/09/2021,Cash,Food,-7,EUR,-7,EUR,Fruiteria
26/09/2021,Cash,Entertainment,-13.2,EUR,-13.2,EUR,Birres Vallvidrera
28/09/2021,Cash,Eating out,-23.5,EUR,-23.5,EUR,Simbad
28/09/2021,Cash,Entertainment,-11.58,EUR,-11.58,EUR,Birra lab
30/09/2021,Cash,Entertainment,-4.4,EUR,-4.4,EUR,Birres camping
30/09/2021,Cash,Food,-3.25,EUR,-3.25,EUR,Pa bo
01/10/2021,Cash,Salary,"1,500",EUR,"1,500",EUR,Nòmina
02/10/2021,Cash,Food,-10,EUR,-10,EUR,Mercadona
03/10/2021,Cash,Food,-12,EUR,-12,EUR,Bolleria mercat medieval
03/10/2021,Cash,House,-6,EUR,-6,EUR,Pala cuinar fusta
04/10/2021,Cash,Sports,-100,EUR,-100,EUR,Bamboo
05/10/2021,Cash,Food,-26,EUR,-26,EUR,Lidl
05/10/2021,Cash,Health,-120,EUR,-120,EUR,Cant
05/10/2021,Cash,Eating out,-3.6,EUR,-3.6,EUR,Form
05/10/2021,Cash,Entertainment,-4.5,EUR,-4.5,EUR,Birres camping
05/10/2021,Cash,Bills,-38,EUR,-38,EUR,Pepephone
05/10/2021,Cash,Bills,-37,EUR,-37,EUR,Aigua
05/10/2021,Cash,Bills,-37,EUR,-37,EUR,Aigua (anterior)
05/10/2021,Cash,House,-350,EUR,-350,EUR,Lloguer pis
06/10/2021,Cash,Eating out,-4,EUR,-4,EUR,Too good to go
07/10/2021,Cash,Food,-32,EUR,-32,EUR,Mercadona
08/10/2021,Cash,House,-40,EUR,-40,EUR,Taula 1er pagament
08/10/2021,Cash,Car,-80,EUR,-80,EUR,Parking
10/10/2021,Cash,Car,-40,EUR,-40,EUR,Fuel
10/10/2021,Cash,Eating out,-4,EUR,-4,EUR,Cafe
11/10/2021,Cash,Entertainment,-4.45,EUR,-4.45,EUR,Cafés
11/10/2021,Cash,Food,-4,EUR,-4,EUR,Pa bo
11/10/2021,Cash,Food,-10,EUR,-10,EUR,Bonarea
